B+AV=CV+D,48,17
B/V+D=A,3,0
AV-B=D-CV,108,79
AV+B=-CV+D,51,24
-AV=-B,3,2
-AV+B=D,5,4
V=B,8,7
AV+B=D+CV,3,1
B+AV=D,25,17
V*B=D,7,5
AV+B=CV,7,1
AV+B=D,362,227
AV+B-D=C,7,3
AV+CV=B,11,6
AV+CV-B=D,3,2
B(V-D)=A,3,1
B+AV=-CV-D,4,2
AV=B,295,246
AV=B-CV,9,7
AV=B+CV,4,0
B-V=D,6,1
B+AV=-CV+D,141,83
(V-B)/A=D,3,2
V+B=D,50,40
AV=CV-B,3,1
-AV-B=CV+D,3,0
B+AV-D=C,3,2
(V+B)/A=D,55,40
AV-B=-D,8,5
B+AV=-D+C,14,1
B-V=AV+D,4,1
V/A+B=D,104,67
V+B=D+B,3,3
AV/C=B,3,1
AV=CV+B,13,2
B-AV=D,9,5
-B+AV=D-CV,7,5
(AV+B)/C=V-D/C,3,1
AV-B=D,137,85
B*V=D,9,9
AV-CV=B,7,3
AV=CV,4,0
AV-B=-CV+D,7,4
V-B+D=A,3,1
B/V=D,25,1
AV=-CV+B,16,9
AV+B+D=C,4,1
V/A=B,51,29
AV+CV+B=D,3,3
B=AV,6,4
AV-B=CV-D,8,1
V-B=D,133,117
B+V=D,25,16
AV+B=D-CV-8,59,35
AV+B=CV-D,77,42
-B+AV=-D-CV,35,25
V/A-B=D,15,11
V-B=-D,3,1
AV+B=-CV-D,10,4
AV*B=D,5,3
AV-B=CV+D,11,4
AV+B=CV+D,31,10
